"","SRS011061","SRS011084","SRS011134","SRS011239","SRS011271","SRS011302","SRS011405","SRS011452","SRS011529","SRS011586","SRS012273","SRS012902","SRS013158","SRS013215","SRS013476","SRS013521","SRS013687","SRS013800","SRS013951","SRS014235","SRS014287","SRS014313","SRS014459","SRS014613","SRS014683","SRS014923","SRS014979","SRS015065","SRS015133","SRS015190","SRS015217","SRS015264","SRS015369","SRS015578","SRS015663","SRS015782","SRS015794","SRS015854","SRS015960","SRS016018","SRS016056","SRS016095","SRS016203","SRS016267","SRS016335","SRS016495","SRS016585","SRS016753","SRS016954","SRS016989","SRS017103","SRS017191","SRS017247","SRS017307","SRS017433","SRS017521","SRS017701","SRS017821","SRS018133","SRS018313","SRS018351","SRS018427","SRS018575","SRS018656","SRS018817","SRS019030","SRS019161","SRS019267","SRS019397","SRS019582","SRS019601","SRS019685","SRS019787","SRS019910","SRS019968","SRS020233","SRS020328","SRS020869","SRS021484","SRS021948","SRS022071","SRS022137","SRS022524","SRS022609","SRS022713","SRS023346","SRS023526","SRS023583","SRS023829","SRS023914","SRS023971","SRS024009","SRS024075","SRS024132","SRS024265","SRS024331","SRS024388","SRS024435","SRS024549","SRS024625","SRS042284","SRS042628","SRS043001","SRS043411","SRS043701","SRS045004","SRS045645","SRS045713","SRS047014","SRS047044","SRS048164","SRS048870","SRS049164","SRS049712","SRS049900","SRS049959","SRS049995","SRS050299","SRS050422","SRS050752","SRS050925","SRS051031","SRS051882","SRS052027","SRS052697","SRS053214","SRS053335","SRS053398","SRS054590","SRS054956","SRS055982","SRS056259","SRS056519","SRS057478","SRS057717","SRS058723","SRS058770","SRS062427","SRS063040","SRS063985","SRS064276","SRS064557","SRS064645","SRS065504","SRS075398","SRS077730","SRS078176"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",21.25028,0,0.30353,0,1.00831,0.88339,8.99417,16.15991,3.5794,0.00019,0,0,0,0,2.82686,6.43151,7.32611,6.4115,1.63816,2.54684,2.90122,0,0.81728,4.30574,2.4376,1.07657,0.51524,1.14208,1.41769,0,0.60077,1.62762,2.03998,0,3.45217,8.49839,0,0,0,5.37442,2.78997,0.00017,3.29725,0,0.66866,0,0,22.40068,0,0.37578,1.70705,0,5.6624,0.20887,1.30812,9.4796,7.76892,4.38129,0.71599,0,0,0,6.53517,0,0,2.3883,3.72671,0.00111,6.02182,5.83797,0,1.50553,0,11.20361,13.58656,2.67579,1.66931,0,0,0,0,2.60734,6.79661,0.49112,0,0,1.88298,2.70685,0,15.4911,0,14.36138,2.42919,3.26236,0.59371,1.69011,0,4.97845,0,0,0,0.93778,0,0,0.00252,3.54563,4.62975,27.24419,0.58524,2.22294,4.79641,1.22805,0.71019,0.99213,0,5.16327,13.56085,1.3496,3.1946,4.32344,9.02677,1.69461,5.99132,0,4.57211,0,0.00228,9.5765,0,0,2.05611,0,5.82329,0,0,0,3.4401,8.29811,4.67932,3.71979,2.69364,1.44793,0,1.85395,0,0,3.45567
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",16.64597,18.0724,4.29878,27.45096,5.03531,6.15637,25.82763,0,13.40988,24.88539,0.32109,78.61214,51.90772,0,0,29.93533,1.57506,2.97213,1.43569,10.51594,25.47405,36.4674,7.31476,0,14.70315,0.82256,2.45455,13.79396,4.0217,46.08961,2.12827,39.0972,29.99009,49.04887,4.36335,8.0264,0.7736,26.86978,14.52301,0,13.71866,22.45197,19.18987,0,6.83082,2.53797,0.43223,53.08065,13.95463,33.53769,18.66633,31.11908,34.35774,6.91085,10.20778,29.11539,31.84523,10.34756,0,0,9.58057,14.31672,0,0.00331,9.18238,21.8407,8.41218,38.64112,19.08952,5.24894,4.93028,1.95996,0,35.13015,18.96666,12.21802,5.41654,13.5147,17.66991,11.97373,3.59439,19.14642,13.0641,2.15274,26.91256,0,9.64733,6.21712,55.0749,3.73314,35.90745,18.56674,36.98752,0,13.84109,23.55903,0,0.47582,0,26.78607,22.46318,0.01881,0,19.79615,38.12639,23.51352,31.49775,0,30.47517,4.50753,28.22416,6.27274,30.04925,7.31053,8.14449,4.72604,27.89201,25.09334,14.55161,20.06493,3.85788,13.27899,23.4147,30.89604,8.1811,27.98085,12.69148,16.8719,0,0,22.11477,19.40479,0,17.99279,0,61.92843,0,23.70247,15.63567,5.3329,0,23.03046,20.84736,29.18876,43.04874,16.2229,10.20975
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",12.65408,0,0.07813,3.85113,0,0,0,0.33007,0.03244,0,0,0,0,0,12.68987,0,0,2.82701,0.48407,1.03538,3.95537,0,7.40865,0,0.01249,0.00482,0.84882,5.30136,0,5.43981,0,0.54514,0,0,0,0.49391,0,0,0,1.77623,0,9.99923,11.50166,0,0.07823,1.82187,8e-04,0,0,1.58613,0.18812,0.98308,0.13061,0.01542,0,0.0982,1.84948,0.30125,0.37381,0,0,3.58153,0,0.2634,0,0.19855,2.8746,3.5562,0,0,0.91345,4.90181,5.7288,0.0102,0,0.00883,0,0,0,0,0,0,0.94019,0.11884,0,0,0.02954,0.52539,0,0,0,0,2.82843,1.61931,0,1.62309,17.50156,0,0,0,0,0.3046,0,11.28049,0.75288,0.03668,0.01417,0.62204,0.1164,0.00847,0.01888,7.05532,0.12341,0.00106,0,0,0.00796,6.49818,0,0,0,0,0,0.38113,1.49961,16.85501,0,0.59329,21.93947,0,0,0,0,0,0,0.01157,1.23785,0.8847,2.38156,0,0,0,0,1.9777,0,3.3939,0.00894
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",11.64049,2.68634,4.8626,10.37525,1.89495,0.15585,0,0.96297,0.50113,3.11593,2.77478,0,0.83051,0,0,0.08542,0,9.74977,0.76087,3.02514,5.64446,12.55905,11.89295,0,0.33793,0.33877,1.12515,5.52615,0,8.34764,1.19727,2.88945,3.10865,0,2.58116,1.33488,2.03664,0,3.86182,0,1.49946,17.61196,0,24.82427,1.43127,0.43738,0.04561,0,0.49895,0.5818,3.63052,1.44417,0,0.43215,0.63725,0.60793,3.79292,0.08532,0.1435,4.07106,0.98904,0,5.61821,5.87127,0,0.61732,0.69153,1.67803,5.09445,0.97375,9.96271,3.12508,20.97018,8.54722,2.154,1.36366,2.07481,0,0.16803,1.51348,7.64814,0,1.53272,2.55151,1.12394,0,5.32634,1.15726,1.81103,0,4.74233,0,0,1.99942,0.59822,0.60666,0.78407,4.802,0,1.00614,0,0,0,11.36174,2.91744,0.62583,1.17881,2.22069,1.73423,0.34708,0.57139,1.34833,1.60243,0.63337,6.3903,0.79882,0.39703,4.5328,1.80054,3.75951,1.07049,0.73919,7.09155,5.39805,0.79122,3.85553,0,2.31971,9.80963,0,0,2.58129,4.91417,2.46079,0,8.41857,0.81355,0.58443,2.35286,0,0,4.71546,7.93834,2.65814,8.61548,5.07203,0.47008
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_927",7.86965,0,8.23054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",6.76322,1.52404,0.03113,0.31471,0.3915,0.72803,0.07549,4.04843,0.33886,0.70255,1.09884,9.09418,0,67.37939,2.62802,1.1891,1.40028,0.7553,0.27569,0,4.95143,0,5.7103,9.16416,14.459,1.36803,2.88271,5.0452,0,16.15621,0.74074,8.42048,31.35128,2.45946,0.59016,0.92358,12.1081,13.33553,24.27117,1.74747,0.90352,0.91706,5.22852,1.65768,0.11547,0,0.0687,4.78664,0.70917,9.03648,1.60567,31.92913,4.1925,0.59408,6.48692,0.74415,4.51718,6.20663,12.92988,23.00741,26.59979,10.54234,0,0,24.08646,6.70333,1.49944,0,0.82926,0.613,0.6007,0,3.49178,1.69474,13.84075,0,0.66476,0.85149,1.30476,0.09667,1.26562,0.55055,1.62852,0,9.86338,38.22418,0.83193,2.33036,23.55267,1.70407,0,0.24063,0.64874,1.00747,1.3943,5.73791,0.49097,0.74854,38.03785,1.5198,0,0.10064,17.21781,9.47484,16.98124,1.6051,8.82592,5.20018,0.00314,0.06832,0.34312,6.09251,0.0105,0.02651,0,2.3368,0.71718,22.2074,1.56049,0.36545,4.89733,0.51174,3.73415,8.793,4.17624,0,0,1.18455,0,47.11245,1.06888,11.75614,0,12.14666,47.09975,0,2.83764,9.51463,0.78267,0,2.4993,17.67477,0,11.00153,22.16146,0,0.22879
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",5.64582,0.94365,3.78341,0,2.52107,0.65669,0,0,0.04915,0,21.10653,0,0,0,1.97463,0.80552,9.52467,0.00468,0.82766,5.23781,3.86042,10.38185,1.02993,2.40155,6.58857,1.33482,0.81205,0.74391,0,0,0,2.01575,0,0,1.31485,4.68091,0,0,3.48199,1.59118,0.31687,0.70327,12.36814,0,9.31493,0,0.09263,0,0.46251,0.69706,5.68434,10.16375,0,0,1.62178,0,1.63424,3.02956,2.05134,59.35716,0,7.54607,0,0,0,2.83712,3.74399,30.62469,4.71022,1.66343,41.84889,2.20474,0,11.50034,0,0.99981,2.28829,0,1.50377,0.40639,2.216,1.02753,0,0.42337,0,0,4.77465,6.80492,0,3.32947,0,0,0,3.21721,3.62119,2.92686,0,0,0,1.36893,0,0.25935,5.50946,0,4.29524,1.69603,2.3902,0,1.02095,1.98719,3.804,0,1.04116,0.46156,0,0,2.02586,1.86272,2.60861,3.11323,2.97282,0.74392,4.31072,0.50038,1.28467,0,0.00503,2.26386,0,0,0.40838,6.07425,0,0,0,15.29971,3.78213,16.09723,0,0,4.29789,3.49843,0,3.90933,0,0,2.00048
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",5.59492,11.11784,8.37205,15.65988,4.68014,5.61802,0,0,1.46315,0,10.45531,0,0.07276,0,3.26905,2.94425,0,7.39032,1.57216,6.55319,9.03008,0,8.89315,8.40034,18.75444,4.11423,1.7489,7.63678,5.39779,3.38805,0.46747,5.22561,2.01924,0,12.92366,14.65327,12.74942,0.07894,10.36129,21.62047,2.42084,9.63562,10.56098,1.76222,11.84653,0.78404,0.1019,0,6.26804,0,9.38378,2.65298,4.22512,1.74176,11.54064,0,2.00511,4.12303,37.93045,0,0,6.93565,0,0,7.20307,8.67613,7.07992,7.11962,0,10.00517,0,11.95416,9.90628,2.95898,15.67292,9.94199,16.41449,0,13.42501,17.74705,21.93983,7.24645,7.40722,9.21808,0,0,7.86857,14.48492,0,0,7.92277,0,5.46369,5.26349,3.38415,5.4129,3.48656,11.8291,0,6.73561,0,3.24752,0,10.41297,7.02751,12.04631,8.74916,8.31704,4.31671,3.08554,4.93436,15.52696,2.82922,0.41313,0,0.09818,8.75273,9.80526,1.82198,0,11.14007,7.50972,5.0742,0,4.53963,10.62339,11.22023,6.99801,0,0,8.21505,2.43288,0,0,0,0,26.31256,9.65581,5.91028,5.84684,13.74262,3.31824,0,1.57178,0,40.28797,2.48802
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis",3.62621,0.51827,0.16657,0.67422,0.16177,0,0.05111,0,0.00275,0,0.17855,1.92746,0,0,0.29182,0.00269,0,0,0.02568,0.14279,0,0,1.75843,1.57939,0.4335,0.02146,0,2.21444,0.03089,0.24251,0.24588,0.02047,0,2.27615,0.01161,0.0425,0.84248,0,0.32801,0.42699,0.34905,0.29852,1.23568,1.68342,0.18962,0,0.00817,0,0.18336,0.08921,0.05195,0.15707,0,0,0.00068,0.06901,0.00742,0.16963,0.90123,0,2.58258,0.19688,0.75393,0,0.09346,2.37813,0.11329,0.45364,0,0.13088,0,0.49819,0.83733,0.00251,0.08925,0.03403,0.45374,0,0.57159,0.01474,0.72384,0.4069,0.1946,0.57477,0,0,0.69645,0.08221,0.71424,0,0,0.13632,0,0.85459,0,0.10499,0,0.02252,0,0.57914,1.37716,0.03766,0.02022,0.20517,0.53367,0.01452,0.00694,0.07183,0.14507,0.00258,0.01237,0.06107,0.16714,0.00693,0,0.38201,0.00742,0.00868,0.02353,0.20236,0.13438,0.01525,0.28819,0.23605,0.00042,0,0.09924,0.29863,0,0.02861,0.23115,0.16315,1.67932,0,0,0,0.62399,0,0.17945,0.09307,0.78996,0,0,0.07379,2.15416,0,0.01554
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",2.3744,6.11036,7.50534,2.55938,1.61243,12.97533,0.18109,0.00745,0.53311,3.43158,1.0907,0,0.53016,0.07969,4.22918,0.31787,2.20203,0.24853,14.50895,5.09529,15.96005,0.5355,10.98724,2.73274,2.13068,2.89632,2.74493,9.6249,18.96966,0.07404,1.34288,5.83379,0.09151,4.62392,9.09688,3.28861,0.51245,4.53932,1.03257,0.40137,0.26755,1.1397,6.15238,0.20123,4.92308,8.84759,0.02492,0.26715,7.99657,0.66204,1.70657,0.76665,0.6724,4.02065,0.79176,0.81743,0.41805,0.51184,0.14072,0.71017,5.83924,2.64887,2.4357,1.47408,4.06924,4.64624,7.20735,0.19304,2.09868,6.33967,0.33773,4.48883,3.77084,1.28196,1.38,3.6467,4.42486,3.63098,2.67973,1.30464,3.07422,0.84988,5.06345,2.43335,0,0.50338,2.19745,0.4541,0,2.89424,0.29441,0.48293,1.65714,4.19714,4.18225,1.02824,0.27091,2.7211,0.06359,3.42296,0.39317,14.89704,0.92016,0.83411,1.29972,0.93724,0.94261,0.24874,10.29193,0.60817,2.74707,1.80376,9.37358,1.05431,0.53806,6.88756,3.05761,0.07048,7.94569,5.25459,3.7872,4.90719,1.14139,1.24642,3.66692,1.64206,0.76018,3.80484,0,8.21897,0.441,1.30999,1.17887,0,0.07246,0.37149,0.43263,2.15515,4.77349,33.72444,7.38095,0.80522,0.81694,2.1423,0.06551,1.44459,1.88771
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",0.9299,0.87151,0.7521,0.99484,0.06861,0.11521,0.35881,0,0.04265,3.62136,0.99473,0,0,0,0.3746,0.28407,0,0.24899,0.08635,0.262,0.03563,0.51009,0.16411,0.44419,0,0.04855,0.16145,0.10042,0.33603,0,0.04695,0.01952,0.0127,0,0.52228,0.78789,0.00058,0,0.2731,0.9716,0,0.00071,1.09258,0.01892,0.13651,0,0.00989,1.14762,1.33875,0,0.56624,0,0.03515,0.56383,0.19511,0,0.14656,0.2247,1.63234,0,1.01087,0.34361,0,0.99658,0.21415,0,0.3383,0.92048,0,1.06531,0.2416,0.63162,0.11944,0.06273,0.92674,0.19063,2.08724,0,0.93181,0.33505,3.26866,0.21578,0.75034,0.39457,0,0,0.38476,0.40722,0,0,0,1.04048,0.073,0.52721,0.1552,0.19873,0,0.56892,0,0.80718,0,0.25969,0,0,0,1.9945,3.01762,0.15948,0.05077,0.15254,0.14545,0,0.06501,0.01478,0,0.45607,1.20414,0.08378,0.11892,0,0.2301,0.60987,0.22066,0.02699,0.96337,0,0.58145,0.37768,0,0,0.19968,0.27473,0,0,0,0.24359,0.83203,0.15547,0.21496,0.35546,0.51401,0.11618,0,0.09721,0,0,0.14573
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans",0.90314,0.85902,0.05455,0.75767,0.08434,50.66316,1.19374,0.80583,0.0056,0.6112,0.69202,0,0,0,0.64963,0.01656,0.19448,0.16932,0.04865,5.86524,0.85428,24.64922,0,0,0.05988,8.70128,20.44628,0.11719,4.94951,0,0,0.08513,0,1.06831,1.10984,1.7278,0,0.70186,0,0.42913,0.11808,0,0.19464,0,0.32587,45.28151,0.10722,0.12095,1.30078,27.99032,0.95716,0.19152,0.07552,0.00169,0,0.20673,0.03777,0.55446,0.5113,1.24176,7.54602,2.48873,0,0.4398,1.06146,0.46933,0.19526,0.1108,0.01893,0,0,1.4054,0.03409,0.39803,0.42629,0.03031,0.25315,5.52094,0.02891,0.38352,0.97911,0,1.87988,0.02699,0,0.19744,0.11126,0,0,3.1155,0,2.61398,1.13477,0.10268,21.34168,1.76442,0.08537,0.03526,0,0.71599,0,46.29359,0,0,0.14587,0.02783,0.01716,0,2.51591,0.17886,0.30711,4.19471,2.45251,1.88919,0,0,0.00524,0.06402,0.06917,0.3484,0.26253,2.02675,1.30481,1.73653,0,0.11125,4.54165,0,0,0,0,0,0,0,0.02408,0.00085,0.16249,0.46624,2.88948,6.20293,0.85735,0,0,0.47047,0,0.06606,0
